Exercice;Fonctions;Recette/Prestations ;Recette/Transferts ;Recette/Dette ;Recette/Total ;Recette/Prélèvements ;Recette/TotalAvecPrélèvement ;Dépenses/Personnel ;Dépenses/Fonctionnement ;Dépenses/Transferts ;Dépenses/Dette ;Dépenses/Total ;Dépenses/Prélèvements ;Dépenses/TotalAprèsPrélèvements
2017;000 Divers;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;019 Dette générale;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;029 Fonds;0.0;40008030.36;0.0;40008030.36;0.0;40008030.36;0.0;0.0;0.0;0.0;0.0;800000.0;800000.0
2017;049 Impôts et Redevances;0.0;98299136.41;0.0;98299136.41;0.0;98299136.41;0.0;0.0;67500.0;0.0;67500.0;0.0;67500.0
2017;059 Assurances;0.0;5000.0;0.0;5000.0;0.0;5000.0;0.0;370000.0;0.0;0.0;370000.0;0.0;370000.0
2017;123 Administration générale;360050.0;5199972.72;125000.0;5685022.72;0.0;5685022.72;33034342.06;3422546.48;155145.59;989935.89;37601970.02;0.0;37601970.02
2017;139 Services généraux;476650.0;308757.61;21000.0;806407.61;0.0;806407.61;1851110.37;6983961.0;593500.0;1671858.24;11100429.61;0.0;11100429.61
2017;149 Calamités;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;159 Relations avec l'étranger;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;169 Aide aux pays en voie de développement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;369 Pompiers;20000.0;1557642.92;0.0;1577642.92;0.0;1577642.92;0.0;33500.0;9949141.38;1034651.83;11017293.21;1036739.21;12054032.42
2017;399 Justice - Police;0.0;160000.0;0.0;160000.0;0.0;160000.0;0.0;15000.0;18952910.4;70208.16;19038118.56;0.0;19038118.56
2017;499 Communic. - Voirie - Cours D'eau;9420.0;2581519.32;5001.32;2595940.64;0.0;2595940.64;8669250.9;2163703.5;5000.0;3413122.38;14251076.78;0.0;14251076.78
2017;749 Enseignement supérieur;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;799 Cultes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45000.0;1060000.0;253787.36;1358787.36;0.0;1358787.36
2017;874 Alimentation - Eau;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;876 Désinfect.-Nett.-Immond.;48825.27;349384.34;0.0;398209.61;0.0;398209.61;2807652.64;8145725.0;14475.0;75930.01;11043782.65;0.0;11043782.65
2017;939 Logement - Urbanisme;734110.5;448068.84;2131695.06;3313874.4;0.0;3313874.4;803742.63;130223.0;27231.82;1214148.33;2175345.78;0.0;2175345.78
2016;009 Recettes & dépenses générales;245500.0;6106518.41;50750.0;6402768.41;0.0;6402768.41;0.0;250168.0;739242.79;5074618.59;6064029.38;0.0;6064029.38
2016;019 Dette générale;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;129 Patrimoine privé;698790.0;575779.43;846.2;1275415.63;0.0;1275415.63;7487090.84;374506.31;1802.5;970308.93;8833708.58;0.0;8833708.58
2016;149 Calamités;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;399 Justice - Police;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15000.0;18639512.4;49508.06;18704020.46;0.0;18704020.46
2016;599 Commerce - Industrie;1304698.13;206284.92;2958940.13;4469923.18;0.0;4469923.18;794187.66;1338955.0;762899.44;12744.73;2908786.83;0.0;2908786.83
2016;729 Ens.gard(721), Ens.prim(722);0.0;2936321.87;0.0;2936321.87;0.0;2936321.87;3593183.72;734534.5;23644.5;998864.19;5350226.91;0.0;5350226.91
2016;739 Ens.sec(731),art(734),tech(735);266000.0;214000.0;0.0;480000.0;0.0;480000.0;310027.68;113342.0;239000.0;200309.76;862679.44;0.0;862679.44
2016;874 Alimentation - Eau;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;876 Désinfect.-Nett.-Immond.;52752.11;375638.24;0.0;428390.35;0.0;428390.35;2777365.81;7762537.0;14475.0;69727.21;10624105.02;0.0;10624105.02
2016;999 Total exercice propre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;000 Divers;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;129 Patrimoine privé;704324.03;572207.0;842.21;1277373.24;0.0;1277373.24;7662286.84;379452.6;1800.0;846936.39;8890475.83;0.0;8890475.83
2015;599 Commerce - Industrie;128500.0;211578.34;4160863.91;4500942.25;0.0;4500942.25;751192.46;1330769.09;731300.0;6326.16;2819587.71;0.0;2819587.71
2015;849 Aide sociale et familiale;4650.0;2316359.76;0.0;2321009.76;0.0;2321009.76;2470146.8;222161.04;2095494.5;142943.27;4930745.61;0.0;4930745.61
2015;939 Logement - Urbanisme;641943.04;457456.59;2112658.7;3212058.33;0.0;3212058.33;681415.51;127146.0;21500.0;1223948.89;2054010.4;0.0;2054010.4
2014;009 Recettes & dépenses générales;5500.0;6823592.4;83250.0;6912342.4;0.0;6912342.4;0.0;13168.0;739242.79;5152426.6;5904837.39;0.0;5904837.39
2014;029 Fonds;0.0;37753687.65;0.0;37753687.65;0.0;37753687.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;139 Services généraux;483490.76;308400.28;21000.0;812891.04;0.0;812891.04;2035463.22;7330867.82;572000.0;1640040.13;11578371.17;0.0;11578371.17
2014;369 Pompiers;614300.0;1699420.08;0.0;2313720.08;0.0;2313720.08;11182015.72;729400.51;0.0;919250.91;12830667.14;0.0;12830667.14
2014;599 Commerce - Industrie;190500.0;122863.33;4166508.19;4479871.52;0.0;4479871.52;658033.25;1193000.0;773566.72;5024.43;2629624.4;0.0;2629624.4
2014;699 Agriculture;32195.38;0.0;0.0;32195.38;0.0;32195.38;0.0;0.0;0.0;7342.41;7342.41;0.0;7342.41
2014;739 Ens.sec(731),art(734),tech(735);256500.0;207490.0;0.0;463990.0;0.0;463990.0;278478.3;99484.5;229200.0;131439.76;738602.56;0.0;738602.56
2014;767 Bibliothèques publiques;74000.0;687633.76;0.0;761633.76;0.0;761633.76;1391375.33;187000.0;40000.0;9744.82;1628120.15;0.0;1628120.15
2014;859 Emploi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;877 Eaux usées;5000.0;0.0;0.0;5000.0;0.0;5000.0;0.0;63700.0;156483.78;367030.22;587214.0;0.0;587214.0
2014;939 Logement - Urbanisme;646802.0;252187.63;2004526.32;2903515.95;0.0;2903515.95;626081.72;134000.0;90009.58;1053312.09;1903403.39;0.0;1903403.39
2013;019 Dette générale;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;049 Impôts et Redevances;0.0;90149778.4;0.0;90149778.4;0.0;90149778.4;0.0;0.0;67500.0;0.0;67500.0;0.0;67500.0
2013;123 Administration générale;271500.0;2406774.81;550000.0;3228274.81;0.0;3228274.81;27841661.63;2936494.29;161472.85;1699380.87;32639009.64;0.0;32639009.64
2013;139 Services généraux;462990.76;308601.79;21000.0;792592.55;0.0;792592.55;2032568.05;7265970.39;532953.0;1571762.18;11403253.62;0.0;11403253.62
2013;159 Relations avec l'étranger;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;399 Justice - Police;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12000.0;16417360.17;0.0;16429360.17;0.0;16429360.17
2013;739 Ens.sec(731),art(734),tech(735);246500.0;207490.0;0.0;453990.0;0.0;453990.0;277872.57;104484.5;220000.0;146405.97;748763.04;0.0;748763.04
2013;759 Enseignement pour handicapés;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;767 Bibliothèques publiques;77000.0;139812.0;0.0;216812.0;0.0;216812.0;777406.06;180000.0;70028.78;8501.81;1035936.65;0.0;1035936.65
2013;839 Sécurité et Assist. sociale;8500.0;2168575.8;0.0;2177075.8;0.0;2177075.8;2663438.03;64705.0;15926823.07;0.0;18654966.1;0.0;18654966.1
2013;872 Santé et hygiène;1400.0;0.0;0.0;1400.0;0.0;1400.0;35994.87;24200.0;5750.0;0.0;65944.87;0.0;65944.87
2013;877 Eaux usées;5000.0;0.0;0.0;5000.0;0.0;5000.0;0.0;63700.0;154397.42;343312.9;561410.32;0.0;561410.32
2013;939 Logement - Urbanisme;589280.72;245421.28;1962580.61;2797282.61;0.0;2797282.61;635974.71;93600.0;87509.58;1013802.97;1830887.26;0.0;1830887.26
2013;999 Total exercice propre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;049 Impôts et Redevances;0.0;99008561.99;0.0;99008561.99;0.0;99008561.99;0.0;0.0;67500.0;0.0;67500.0;0.0;67500.0
2018;159 Relations avec l'étranger;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;599 Commerce - Industrie;1377097.24;428451.42;2747933.47;4553482.13;0.0;4553482.13;904920.09;1707267.0;777042.87;17445.9;3406675.86;0.0;3406675.86
2018;759 Enseignement pour handicapés;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;789 Education Popul. et Arts;2090560.0;1390117.92;0.0;3480677.92;0.0;3480677.92;7236448.19;2266364.0;3539924.91;1689321.0;14732058.1;0.0;14732058.1
2018;839 Sécurité et Assist. sociale;10000.0;1721323.26;0.0;1731323.26;460000.0;2191323.26;2012688.25;76125.0;16872481.98;9470.61;18970765.84;850000.0;19820765.84
2018;849 Aide sociale et familiale;4650.0;2384896.6;0.0;2389546.6;0.0;2389546.6;2564137.74;303480.0;2283940.13;186197.36;5337755.23;0.0;5337755.23
2018;859 Emploi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;879 Cimetières-Protec.environ.;315000.0;258371.47;0.0;573371.47;0.0;573371.47;866240.0;224400.0;28000.0;78050.23;1196690.23;0.0;1196690.23
2018;939 Logement - Urbanisme;735548.52;459287.04;2115231.48;3310067.04;0.0;3310067.04;834215.02;152819.77;25250.0;1177036.01;2189320.8;0.0;2189320.8
2018;999 Total exercice propre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;059 Assurances;0.0;30000.0;0.0;30000.0;0.0;30000.0;0.0;510000.0;0.0;0.0;510000.0;0.0;510000.0
2019;123 Administration générale;412150.0;6198858.6;125000.0;6736008.6;0.0;6736008.6;35299612.24;3991722.38;160935.63;1251379.12;40703649.37;0.0;40703649.37
2019;139 Services généraux;528095.95;308638.98;21000.0;857734.93;0.0;857734.93;1864516.09;7811132.37;548500.0;1908908.3;12133056.76;0.0;12133056.76
